run_id,seed,ubi_mode,alg,task,n_households,hidden_size,q_lr,p_lr,batch_size
101,1001,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
102,1001,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
103,1002,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
104,1002,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
105,1003,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
106,1003,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
107,1004,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
108,1004,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
109,1011,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
110,1011,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
111,1012,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
112,1012,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
113,1013,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
114,1013,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
115,1014,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
116,1014,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
117,1021,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
118,1021,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
119,1022,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
120,1022,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
121,1023,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
122,1023,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
123,1024,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
124,1024,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
125,1031,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
126,1031,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
127,1032,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
128,1032,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
129,1033,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
130,1033,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
131,1034,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
132,1034,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
133,1041,na,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
134,1041,ubi,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
135,1042,na,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
136,1042,ubi,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
137,1043,na,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
138,1043,ubi,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
139,1044,na,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
140,1044,ubi,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
141,1051,na,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
142,1051,ubi,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
143,1052,na,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
144,1052,ubi,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
145,1053,na,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
146,1053,ubi,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
147,1054,na,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
148,1054,ubi,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
149,1061,na,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
150,1061,ubi,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
151,1062,na,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
152,1062,ubi,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
153,1063,na,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
154,1063,ubi,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
155,1064,na,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
156,1064,ubi,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
157,1071,na,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
158,1071,ubi,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
159,1072,na,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
160,1072,ubi,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
161,1073,na,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
